City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dingle,10.9995,122.6711,73.22,89,40,6.87,PH,2021-12-05 22:39:19
1,Puerto Ayora,-0.7393,-90.3518,76.96,85,53,9.62,EC,2021-12-05 22:39:19
2,Bredasdorp,-34.5322,20.0403,60.28,96,100,8.48,ZA,2021-12-05 22:39:20
3,Geraldton,-28.7667,114.6,64.81,82,1,8.05,AU,2021-12-05 22:39:20
4,Sarti,40.1,23.9833,57.61,80,28,6.51,GR,2021-12-05 22:39:20
5,Hamilton,39.1834,-84.5333,61.43,80,90,1.99,US,2021-12-05 22:35:27
6,Tiksi,71.6872,128.8694,-16.01,95,100,6.11,RU,2021-12-05 22:39:21
7,Mangai,-4.05,19.5333,69.94,98,100,0.87,CD,2021-12-05 22:39:21
8,Ribeira Grande,38.5167,-28.7,63.93,73,72,7.83,PT,2021-12-05 22:39:21
9,Lasa,46.6166,10.7002,27.48,92,95,5.59,IT,2021-12-05 22:34:32
10,Vagur,61.4732,-6.8119,41.59,63,75,22.59,FO,2021-12-05 22:39:21
11,Bluff,-46.6,168.3333,53.8,50,59,14.12,NZ,2021-12-05 22:39:22
12,Albany,42.6001,-73.9662,37.81,60,97,4.61,US,2021-12-05 22:38:05
13,Port-Gentil,-0.7193,8.7815,80.56,94,75,8.05,GA,2021-12-05 22:39:22
14,Karpogory,64.0019,44.4451,-1.34,100,64,3.06,RU,2021-12-05 22:39:22
15,Qaanaaq,77.484,-69.3632,20.52,81,100,6.4,GL,2021-12-05 22:39:23
16,Atuona,-9.8,-139.0333,78.46,76,5,18.14,PF,2021-12-05 22:39:23
17,Hermanus,-34.4187,19.2345,60.91,94,100,10.36,ZA,2021-12-05 22:39:23
18,Esil,51.9556,66.4042,17.83,95,98,6.89,KZ,2021-12-05 22:39:24
19,Lazurne,46.084,32.5295,39.02,81,100,14.03,UA,2021-12-05 22:39:24
20,Vila Velha,-20.3297,-40.2925,78.75,87,40,7.0,BR,2021-12-05 22:38:08
21,Mayo,38.8876,-76.5119,50.86,62,75,0.0,US,2021-12-05 22:39:24
22,Herat,34.5,62.0,43.23,41,0,6.51,AF,2021-12-05 22:39:24
23,Hobart,-42.8794,147.3294,63.01,57,40,5.01,AU,2021-12-05 22:39:25
24,Hot Springs,34.5037,-93.0552,72.0,81,75,8.01,US,2021-12-05 22:36:18
25,Rikitea,-23.1203,-134.9692,76.5,74,99,8.61,PF,2021-12-05 22:39:25
26,Hilo,19.7297,-155.09,76.73,88,75,14.97,US,2021-12-05 22:39:25
27,Zhezkazgan,47.8043,67.7144,31.6,93,100,6.96,KZ,2021-12-05 22:39:26
28,Seda,57.65,25.75,2.32,96,71,5.35,LV,2021-12-05 22:39:26
29,Yellowknife,62.456,-114.3525,-19.59,84,20,3.44,CA,2021-12-05 22:35:01
30,Jamestown,42.097,-79.2353,43.92,49,90,11.01,US,2021-12-05 22:38:06
31,Saint George,37.1041,-113.5841,72.36,24,1,1.99,US,2021-12-05 22:35:41
32,Chuy,-33.6971,-53.4616,65.3,82,98,7.87,UY,2021-12-05 22:39:27
33,Brae,60.3964,-1.353,40.91,62,78,8.14,GB,2021-12-05 22:39:27
34,Lebu,-37.6167,-73.65,61.21,74,0,14.38,CL,2021-12-05 22:39:27
35,Leshukonskoye,64.8989,45.7622,4.1,93,24,4.72,RU,2021-12-05 22:39:27
36,Provideniya,64.3833,-173.3,30.31,93,90,22.37,RU,2021-12-05 22:39:28
37,Castro,-24.7911,-50.0119,63.46,90,88,3.58,BR,2021-12-05 22:39:28
38,Oranjestad,12.524,-70.027,84.15,70,20,20.71,AW,2021-12-05 22:39:28
39,Torbay,47.6666,-52.7314,32.68,74,20,6.91,CA,2021-12-05 22:39:29
40,Avarua,-21.2078,-159.775,82.45,83,49,8.05,CK,2021-12-05 22:39:29
41,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,40,8.05,CA,2021-12-05 22:39:29
42,Kruisfontein,-34.0033,24.7314,62.89,92,73,10.11,ZA,2021-12-05 22:39:30
43,Port Lincoln,-34.7333,135.8667,64.36,61,3,5.55,AU,2021-12-05 22:39:30
44,Clovis,36.8252,-119.7029,77.68,87,90,0.0,US,2021-12-05 22:41:23
45,Busselton,-33.65,115.3333,61.05,67,58,17.4,AU,2021-12-05 22:41:23
46,Asyut,27.181,31.1837,53.78,60,99,5.88,EG,2021-12-05 22:41:24
47,Mataura,-46.1927,168.8643,55.47,47,92,5.06,NZ,2021-12-05 22:41:24
